"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","361099991","1","0.03","ppm","28","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/02/2023","AQS","361099991","1","0.027","ppm","25","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/03/2023","AQS","361099991","1","0.023","ppm","21","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/04/2023","AQS","361099991","1","0.027","ppm","25","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/05/2023","AQS","361099991","1","0.033","ppm","31","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/06/2023","AQS","361099991","1","0.025","ppm","23","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/07/2023","AQS","361099991","1","0.029","ppm","27","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/08/2023","AQS","361099991","1","0.031","ppm","29","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/09/2023","AQS","361099991","1","0.035","ppm","32","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/10/2023","AQS","361099991","1","0.03","ppm","28","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/11/2023","AQS","361099991","1","0.025","ppm","23","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/12/2023","AQS","361099991","1","0.027","ppm","25","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/13/2023","AQS","361099991","1","0.031","ppm","29","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/14/2023","AQS","361099991","1","0.033","ppm","31","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/15/2023","AQS","361099991","1","0.033","ppm","31","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/16/2023","AQS","361099991","1","0.043","ppm","40","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/17/2023","AQS","361099991","1","0.033","ppm","31","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/18/2023","AQS","361099991","1","0.019","ppm","18","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/19/2023","AQS","361099991","1","0.02","ppm","19","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/20/2023","AQS","361099991","1","0.028","ppm","26","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/21/2023","AQS","361099991","1","0.032","ppm","30","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/22/2023","AQS","361099991","1","0.025","ppm","23","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/23/2023","AQS","361099991","1","0.031","ppm","29","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/24/2023","AQS","361099991","1","0.031","ppm","29","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/25/2023","AQS","361099991","1","0.029","ppm","27","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/26/2023","AQS","361099991","1","0.03","ppm","28","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/27/2023","AQS","361099991","1","0.034","ppm","31","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/28/2023","AQS","361099991","1","0.038","ppm","35","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/29/2023","AQS","361099991","1","0.038","ppm","35","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/30/2023","AQS","361099991","1","0.032","ppm","30","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"01/31/2023","AQS","361099991","1","0.038","ppm","35","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/01/2023","AQS","361099991","1","0.039","ppm","36","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/02/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/03/2023","AQS","361099991","1","0.036","ppm","33","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/04/2023","AQS","361099991","1","0.033","ppm","31","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/05/2023","AQS","361099991","1","0.039","ppm","36","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/06/2023","AQS","361099991","1","0.032","ppm","30","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/07/2023","AQS","361099991","1","0.034","ppm","31","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/08/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/09/2023","AQS","361099991","1","0.037","ppm","34","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/10/2023","AQS","361099991","1","0.036","ppm","33","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/11/2023","AQS","361099991","1","0.036","ppm","33","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/12/2023","AQS","361099991","1","0.041","ppm","38","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/13/2023","AQS","361099991","1","0.043","ppm","40","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/14/2023","AQS","361099991","1","0.043","ppm","40","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/15/2023","AQS","361099991","1","0.048","ppm","44","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/16/2023","AQS","361099991","1","0.035","ppm","32","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/17/2023","AQS","361099991","1","0.036","ppm","33","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/18/2023","AQS","361099991","1","0.04","ppm","37","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/19/2023","AQS","361099991","1","0.038","ppm","35","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/20/2023","AQS","361099991","1","0.038","ppm","35","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/21/2023","AQS","361099991","1","0.037","ppm","34","Connecticut Hill","13","76.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/22/2023","AQS","361099991","1","0.03","ppm","28","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/23/2023","AQS","361099991","1","0.029","ppm","27","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
"02/24/2023","AQS","361099991","1","0.037","ppm","34","Connecticut Hill","17","100.0000","44201","Ozone","047","27060","Ithaca, NY","36","New York","109","Tompkins","42.4006","-76.6538"
